### columns from Head ###
     Cluster     Annotation     gene     p_val     avg_diff     pct.1     pct.2

### data from body ###

     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Plp1     0     1.7104     0.998     0.677
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mal     1.6038e-274     1.6972     0.808     0.227
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ermn     0     1.6778     0.879     0.273
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Stmn4     0     1.596     0.885     0.323
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mag     0     1.5804     0.923     0.36
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cldn11     0     1.5622     0.905     0.384
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mobp     0     1.5497     0.951     0.401
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Aplp1     0     1.5447     0.957     0.444
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmem88b     8.5635e-163     1.5427     0.619     0.152
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Apod     0     1.5327     0.985     0.539
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tubb4a     2.8445e-280     1.5309     0.842     0.288
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Car2     3.4163e-305     1.5301     0.888     0.341
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cryab     0     1.5117     0.933     0.42
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tspan2     4.9403e-152     1.493     0.613     0.15
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mbp     0     1.4897     0.98     0.482
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sez6l2     5.8312e-155     1.4747     0.61     0.166
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Hcn2     1.3681e-121     1.4686     0.514     0.116
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mog     1.9437e-212     1.458     0.754     0.248
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Dcaf17     1.1138e-117     1.45     0.535     0.14
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ptgds     1.72e-321     1.449     0.983     0.715
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ndrg1     8.797e-130     1.448     0.538     0.124
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fa2h     1.0621e-121     1.4453     0.51     0.114
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ugt8a     1.7926e-163     1.4404     0.651     0.184
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gsn     6.7199e-132     1.421     0.559     0.158
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cnp     0     1.405     0.933     0.45
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Trf     0     1.4005     0.966     0.616
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Qdpr     6.9346e-226     1.3875     0.833     0.347
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Klk6     5.9766e-81     1.3861     0.415     0.126
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Grb14     8.0826e-112     1.3759     0.523     0.139
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     App     5.6744e-184     1.3722     0.726     0.262
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Desi1     1.9355e-123     1.3569     0.566     0.166
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gatm     3.6167e-157     1.3522     0.669     0.211
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Efnb3     1.0405e-88     1.3329     0.377     0.062
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ppp1r14a     3.6486e-148     1.3274     0.654     0.203
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tv     1.5664e-127     1.3272     0.666     0.242
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pdlim2     5.1327e-102     1.3251     0.461     0.101
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pex5l     5.5775e-108     1.3228     0.508     0.124
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pacs2     6.1615e-103     1.3191     0.489     0.13
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tppp3     3.736e-104     1.3162     0.503     0.132
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fez1     2.8589e-139     1.2956     0.626     0.213
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Hapln2     1.0685e-85     1.2925     0.406     0.091
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gjb1     1.133e-79     1.2868     0.359     0.064
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gng11     7.8434e-115     1.2834     0.561     0.175
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gjc2     4.6115e-83     1.2545     0.392     0.081
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Josd2     4.4467e-120     1.2417     0.6     0.188
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tmem151a     9.808e-91     1.2283     0.461     0.119
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sept4     1.5752e-189     1.2199     0.799     0.343
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Psat1     2.9348e-86     1.2089     0.45     0.125
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gpr37     2.2605e-90     1.193     0.479     0.128
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Arhgap23     8.9096e-61     1.1777     0.287     0.051
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Mapk8ip1     2.2095e-92     1.1682     0.524     0.171
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cmtm5     9.396e-136     1.1625     0.683     0.27
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Ta     2.3459e-78     1.1393     0.532     0.214
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Tp     8.4179e-115     1.1384     0.704     0.298
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc12a2     3.588e-74     1.1267     0.441     0.14
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Scd2     2.2903e-281     1.1235     0.939     0.514
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Aspa     1.4973e-71     1.1226     0.396     0.097
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc44a1     1.0313e-82     1.1221     0.466     0.132
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Opalin     1.9682e-71     1.1197     0.456     0.149
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slain1     1.5578e-63     1.1174     0.342     0.078
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Pls1     3.141e-59     1.1128     0.33     0.083
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Ywhaq     3.6813e-117     1.1115     0.653     0.296
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Ti     3.3009e-61     1.1106     0.434     0.17
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Acot7     3.1693e-68     1.1036     0.402     0.111
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Lpar1     2.2951e-53     1.1005     0.251     0.043
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Edil3     1.4611e-70     1.0983     0.374     0.086
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Tppp     7.7683e-66     1.0968     0.363     0.087
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Neat1     1.6058e-114     1.0907     0.684     0.276
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Cntn2     4.4786e-56     1.0894     0.314     0.074
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Slc48a1     1.605e-106     1.0887     0.615     0.235
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     mt-Rnr1     1.0122e-168     1.0885     0.915     0.537
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Fkbp1a     4.228e-85     1.0878     0.527     0.195
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Sccpdh     1.4777e-63     1.0854     0.389     0.119
     Adult-Brain_1     Myelinating oligodendrocyte (Adult-Brain)     Gamt     1.484e-58     1.0735     0.346     0.092
